Point of connection,Trading date,Trading period,$/MWh,Price status
OTA2201,2026-01-19,15,0.46,Final
OTA2201,2026-01-19,16,0.3,Final
OTA2201,2026-01-19,17,1.58,Final
OTA2201,2026-01-19,18,0.36,Final
OTA2201,2026-01-19,19,0.14,Final
OTA2201,2026-01-19,20,0.03,Final
OTA2201,2026-01-19,21,0.03,Final
OTA2201,2026-01-19,22,0.3,Final
OTA2201,2026-01-19,23,0.27,Final
OTA2201,2026-01-19,24,0.09,Final
OTA2201,2026-01-19,25,0.03,Final
OTA2201,2026-01-19,26,0.03,Final
OTA2201,2026-01-19,27,0.07,Final
OTA2201,2026-01-19,28,0.08,Final
OTA2201,2026-01-19,29,0.03,Final
OTA2201,2026-01-19,30,0.11,Final
OTA2201,2026-01-19,31,0.58,Final
OTA2201,2026-01-19,32,0.58,Final
OTA2201,2026-01-19,33,2.38,Final
OTA2201,2026-01-19,34,2.59,Final
OTA2201,2026-01-19,35,2.7,Final
OTA2201,2026-01-19,36,2.66,Final
OTA2201,2026-01-19,37,1.85,Final
OTA2201,2026-01-19,38,2.16,Final
OTA2201,2026-01-19,39,1.29,Final
OTA2201,2026-01-19,40,1.24,Final
OTA2201,2026-01-19,41,0.4,Final
OTA2201,2026-01-19,42,0.88,Final
OTA2201,2026-01-19,43,2.15,Final
OTA2201,2026-01-19,44,0.67,Final
OTA2201,2026-01-19,45,0.44,Final
OTA2201,2026-01-19,46,0.03,Final
OTA2201,2026-01-19,47,0.02,Final
OTA2201,2026-01-19,48,0.01,Final
OTA2201,2026-01-18,1,0.01,Final
OTA2201,2026-01-18,2,0.01,Final
OTA2201,2026-01-18,3,0.01,Final
OTA2201,2026-01-18,4,0.01,Final
OTA2201,2026-01-18,5,0.01,Final
OTA2201,2026-01-18,6,0.01,Final
OTA2201,2026-01-18,7,0.01,Final
OTA2201,2026-01-18,8,0.01,Final
OTA2201,2026-01-18,9,0.01,Final
OTA2201,2026-01-18,10,0.01,Final
OTA2201,2026-01-18,11,0.01,Final
OTA2201,2026-01-18,12,0.01,Final
OTA2201,2026-01-18,13,0.01,Final
OTA2201,2026-01-18,14,0.01,Final
OTA2201,2026-01-18,15,0.01,Final
OTA2201,2026-01-18,16,0.01,Final
OTA2201,2026-01-18,17,0.01,Final
OTA2201,2026-01-18,18,0.02,Final
OTA2201,2026-01-18,19,0.03,Final
OTA2201,2026-01-18,20,0.86,Final
OTA2201,2026-01-18,21,0.87,Final
OTA2201,2026-01-18,22,0.64,Final
OTA2201,2026-01-18,23,1.36,Final
OTA2201,2026-01-18,24,0.59,Final
OTA2201,2026-01-18,25,0.18,Final
OTA2201,2026-01-18,26,0.02,Final
OTA2201,2026-01-18,27,0.01,Final
OTA2201,2026-01-18,28,0.01,Final
OTA2201,2026-01-18,29,0.01,Final
OTA2201,2026-01-18,30,0.01,Final
OTA2201,2026-01-18,31,0.01,Final
OTA2201,2026-01-18,32,0.01,Final
OTA2201,2026-01-18,33,0.01,Final
OTA2201,2026-01-18,34,0.33,Final
OTA2201,2026-01-18,35,2.36,Final
OTA2201,2026-01-18,36,1.37,Final
OTA2201,2026-01-18,37,2.36,Final
OTA2201,2026-01-18,38,2.34,Final
OTA2201,2026-01-18,39,2.33,Final
OTA2201,2026-01-18,40,1.92,Final
OTA2201,2026-01-18,41,1.27,Final
OTA2201,2026-01-18,42,2.31,Final
OTA2201,2026-01-18,43,7.93,Final
OTA2201,2026-01-18,44,3.28,Final
OTA2201,2026-01-18,45,2.1,Final
OTA2201,2026-01-18,46,0.78,Final
OTA2201,2026-01-18,47,0.01,Final
OTA2201,2026-01-18,48,0.01,Final
OTA2201,2026-01-17,1,0.37,Final
OTA2201,2026-01-17,2,0.35,Final
OTA2201,2026-01-17,3,0.01,Final
